Timestamp,sessionID,numTimeSwitches,mostRecentCheckpoint,timePassedSinceGameStart,currentLevel,eventType,debug,Checkpoint,Dimension
4/2/2024 14:16:20,6.38477E+17,16,"(17.51, 5.60, 0.00)",1.273683333,2,playerDied,FALSE,17.51,past
4/2/2024 14:16:20,6.38477E+17,16,"(17.51, 5.60, 0.00)",1.286783333,2,checkpointUsed,FALSE,17.51,past
4/2/2024 14:16:20,6.38477E+17,16,"(17.51, 5.60, 0.00)",1.2868,2,passedCheckpoint,FALSE,17.51,past
4/2/2024 14:16:24,6.38477E+17,17,"(17.51, 5.60, 0.00)",1.352016667,2,timeSwitch,FALSE,17.51,present
4/2/2024 14:16:26,6.38477E+17,18,"(17.51, 5.60, 0.00)",1.370333333,2,timeSwitch,FALSE,17.51,past
4/2/2024 14:16:27,6.38477E+17,19,"(17.51, 5.60, 0.00)",1.40425,2,timeSwitch,FALSE,17.51,present
4/2/2024 14:16:32,6.38477E+17,19,"(37.64, 5.79, 0.00)",1.4848,2,passedCheckpoint,FALSE,37.64,present
4/2/2024 14:16:35,6.38477E+17,20,"(37.64, 5.79, 0.00)",1.53425,2,timeSwitch,FALSE,37.64,past
4/2/2024 14:16:38,6.38477E+17,20,"(37.64, 5.79, 0.00)",1.573416667,2,passedCheckpoint,FALSE,37.64,past
4/2/2024 14:16:41,6.38477E+17,21,"(37.64, 5.79, 0.00)",1.627866667,2,timeSwitch,FALSE,37.64,present
4/2/2024 14:16:46,6.38477E+17,21,"(37.64, 5.79, 0.00)",1.703116667,2,passedCheckpoint,FALSE,37.64,present
4/2/2024 14:16:47,6.38477E+17,22,"(37.64, 5.79, 0.00)",1.729233333,2,timeSwitch,FALSE,37.64,past
4/2/2024 14:16:48,6.38477E+17,23,"(37.64, 5.79, 0.00)",1.742583333,2,timeSwitch,FALSE,37.64,present
4/2/2024 14:16:56,6.38477E+17,23,"(37.64, 5.79, 0.00)",1.87035,2,levelCompleted,FALSE,37.64,present
4/2/2024 14:16:59,6.38477E+17,23,"(10.81, 4.60, 0.00)",1.928133333,3,passedCheckpoint,FALSE,10.81,present
4/2/2024 14:17:01,6.38477E+17,24,"(10.81, 4.60, 0.00)",1.958133333,3,timeSwitch,FALSE,10.81,past
4/2/2024 14:17:01,6.38477E+17,25,"(10.81, 4.60, 0.00)",1.966216667,3,timeSwitch,FALSE,10.81,present
4/2/2024 14:17:02,6.38477E+17,26,"(10.81, 4.60, 0.00)",1.976466667,3,timeSwitch,FALSE,10.81,past
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.042833333,3,playerDied,FALSE,10.81,past
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.043116667,3,playerDied,FALSE,10.81,past
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.044216667,3,playerDied,FALSE,10.81,past
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.04255,3,playerDied,FALSE,10.81,past
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.043383333,3,playerDied,FALSE,10.81,past
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.043683333,3,playerDied,FALSE,10.81,past
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.0448,3,playerDied,FALSE,10.81,past
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.04395,3,playerDied,FALSE,10.81,past
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.042316667,3,timeSwitch,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.04535,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.044516667,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.045066667,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.045916667,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.04645,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.046183333,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.047016667,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.04785,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.04755,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.0456,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.049233333,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.04675,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.0495,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.049783333,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.050066667,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.048116667,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.047283333,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.0509,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.051183333,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.051733333,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.05145,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.05035,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.052283333,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.052016667,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:07,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.052566667,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.04895,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.050616667,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.048666667,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:06,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.0484,3,playerDied,FALSE,10.81,present
4/2/2024 14:17:08,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.0764,3,checkpointUsed,FALSE,10.81,present
4/2/2024 14:17:08,6.38477E+17,27,"(10.81, 4.60, 0.00)",2.076416667,3,passedCheckpoint,FALSE,10.81,present
4/2/2024 14:17:14,6.38477E+17,28,"(10.81, 4.60, 0.00)",2.177033333,3,timeSwitch,FALSE,10.81,past
4/2/2024 14:17:29,6.38477E+17,28,"(10.81, 4.60, 0.00)",2.431733333,3,playerDied,FALSE,10.81,past
4/2/2024 14:17:30,6.38477E+17,28,"(10.81, 4.60, 0.00)",2.453883333,3,checkpointUsed,FALSE,10.81,past
4/2/2024 14:17:31,6.38477E+17,28,"(10.81, 4.60, 0.00)",2.453916667,3,passedCheckpoint,FALSE,10.81,past
4/2/2024 14:30:07,6.38477E+17,0,"(10.81, 2.60, 0.00)",0.057666667,1,passedCheckpoint,FALSE,10.81,present
4/2/2024 14:30:08,6.38477E+17,1,"(10.81, 2.60, 0.00)",0.06655,1,timeSwitch,FALSE,10.81,past
4/2/2024 14:30:09,6.38477E+17,1,"(10.81, 2.60, 0.00)",0.08295,1,playerDied,FALSE,10.81,past
4/2/2024 14:30:10,6.38477E+17,1,"(10.81, 2.60, 0.00)",0.1133,1,passedCheckpoint,FALSE,10.81,past
4/2/2024 14:30:10,6.38477E+17,1,"(10.81, 2.60, 0.00)",0.1132,1,checkpointUsed,FALSE,10.81,past
4/2/2024 14:30:11,6.38477E+17,2,"(10.81, 2.60, 0.00)",0.1318,1,timeSwitch,FALSE,10.81,present
4/2/2024 14:30:13,6.38477E+17,2,"(19.55, 2.01, 0.00)",0.1532,1,passedCheckpoint,FALSE,19.55,present
4/2/2024 14:30:14,6.38477E+17,2,"(19.55, 2.01, 0.00)",0.180883333,1,playerDied,FALSE,19.55,present
4/2/2024 14:30:16,6.38477E+17,2,"(19.55, 2.01, 0.00)",0.205133333,1,checkpointUsed,FALSE,19.55,present
